"order_id","order_item_id","product_id","seller_id","shipping_limit_date","price","freight_value"
"00e7ee1b050b8499577073aeb2a297a1",1,a9516a079e37a9c9c36b9b78b10169e8,"7c67e1448b00f6e969d365cea6b010ab","2017-05-22 15:22:12",124.99,21.88
"1093c8304c7a003280dd34598194913d",1,"124f74f703e88efe001a10bfa718b6ff","2a7dc43cecabf23403078e2188437d1d","2017-11-22 19:55:41",19.9,16.11
"1ebeea841c590e86a14a0d7a48e7d062",1,"08401f48b67a852d06105725c3013eff","95e03ca3d4146e4011985981aeb959b9","2018-01-30 12:56:32",25.0,14.1
"29150127e6685892b6eab3eec79f59c7",1,"4aa6014eceb682077f9dc4bffebc05b0",b8bc237ba3788b23da09c0f1f3a3288c,"2018-01-18 20:58:32",289.0,46.48
"36e694cf4cbc2a4803200c35e84abdc4",1,b5466db4cecf95c3c1be0ba32538ce1a,"9f505651f4a6abe901a56cdc21508025","2018-02-23 14:50:37",14.99,7.78
"5741ea1f91b5fbab2bd2dc653a5b5099",1,"0be701e03657109a8a4d5168122777fb","8f2ce03f928b567e3d56181ae20ae952","2017-09-20 18:25:11",259.9,22.31
"6b7d50bd145f6fc7f33cebabd7e49d0f",1,"9391a573abe00141c56e38d84d7d5b3b","4a3ca9315b744ce9f8e9374361493884","2018-07-31 10:10:09",230.0,22.25
"6c949e670b5d33dc8fb8ad25b6da4860",1,"31cddbc370031fbb839a21441df28015",b2ac621f0d0322434d04a12b078b9369,"2018-04-06 17:55:19",84.0,18.47
"7433cbcc783205509d66a5260da5b574",1,"78efe838c04bbc568be034082200ac20","0241d4d5d36f10f80c644447315af0bd","2018-01-12 11:35:27",99.9,22.57
"83d8f70418eefd96f37b483dff430305",1,"3fc00af0f0a8d4ac2933d3900416c977","7a241947449cc45dbfda4f9d0798d9d0","2017-09-14 10:10:17",99.0,18.31
"8428e578bb1cf839ae26a6b7615502b9",1,"6b874ff4c71d18e91079b40396bf176a",b6e1504972665f739dec4facb9943775,"2017-12-01 18:01:20",25.3,15.1
"852d2f4d37773bcbc21c8e09a05a4ea5",1,"33f17ed3c6906f7a7ae17a0843536db4",ea8482cd71df3c1969d7b9473ff13abc,"2018-03-13 16:15:30",27.99,8.4
"951670f92359f4fe4a63112aa7306eba",1,a5647c44af977b148e0a3a4751a09e2e,"7c67e1448b00f6e969d365cea6b010ab","2018-03-27 16:31:16",149.94,23.36
b2059ed67ce144a36e2aa97d2c9e9ad2,1,bd07b66896d6f1494f5b86251848ced7,"7c67e1448b00f6e969d365cea6b010ab","2018-06-05 16:19:10",139.94,17.79
f86c5ed7048ac10eb88ec21c00f71892,1,"632ba0c3ace598871c24c49380796d57",ec8879960bd2221d5c32f8e12f7da711,"2018-02-14 11:55:28",129.9,23.23
