"seller_id","seller_zip_code_prefix","seller_city","seller_state"
"9f505651f4a6abe901a56cdc21508025",4102,sao paulo,SP
b6e1504972665f739dec4facb9943775,13405,piracicaba,SP
ea8482cd71df3c1969d7b9473ff13abc,4160,sao paulo,SP
"7c67e1448b00f6e969d365cea6b010ab",8577,itaquaquecetuba,SP
"7a241947449cc45dbfda4f9d0798d9d0",37590,jacutinga,MG
"95e03ca3d4146e4011985981aeb959b9",21210,rio de janeiro,RJ
"2a7dc43cecabf23403078e2188437d1d",4142,sao paulo,SP
"0241d4d5d36f10f80c644447315af0bd",80330,curitiba,PR
b8bc237ba3788b23da09c0f1f3a3288c,88303,itajai,SC
"4a3ca9315b744ce9f8e9374361493884",14940,ibitinga,SP
"8f2ce03f928b567e3d56181ae20ae952",5141,pirituba,SP
b2ac621f0d0322434d04a12b078b9369,80220,curitiba,PR
ec8879960bd2221d5c32f8e12f7da711,13253,itatiba,SP
