"order_id","customer_id","order_status","order_purchase_timestamp","order_approved_at","order_delivered_carrier_date","order_delivered_customer_date","order_estimated_delivery_date"
"83d8f70418eefd96f37b483dff430305",b2d1536598b73a9abd18e0d75d92f0a3,delivered,"2017-09-09 09:54:57","2017-09-09 10:10:17","2017-09-12 12:42:43","2017-09-20 20:23:34","2017-10-02 00:00:00"
"36e694cf4cbc2a4803200c35e84abdc4",fd826e7cf63160e536e0908c76c3f441,delivered,"2018-02-19 14:38:35","2018-02-19 14:50:37","2018-02-20 00:03:39","2018-02-20 16:25:51","2018-03-05 00:00:00"
"1ebeea841c590e86a14a0d7a48e7d062","5adf08e34b2e993982a47070956c5c65",delivered,"2018-01-18 12:35:44","2018-01-18 12:56:32","2018-01-18 23:25:35","2018-01-26 15:17:57","2018-02-20 00:00:00"
b2059ed67ce144a36e2aa97d2c9e9ad2,"4e7b3e00288586ebd08712fdd0374a03",delivered,"2018-05-19 16:07:45","2018-05-20 16:19:10","2018-06-11 14:31:00","2018-06-14 17:58:51","2018-06-13 00:00:00"
"7433cbcc783205509d66a5260da5b574","4b7139f34592b3a31687243a302fa75b",delivered,"2018-01-08 11:22:34","2018-01-08 11:35:27","2018-01-11 01:00:40","2018-01-13 14:51:55","2018-02-05 00:00:00"
"951670f92359f4fe4a63112aa7306eba",b2b6027bc5c5109e529d4dc6358b12c3,delivered,"2018-03-13 16:06:38","2018-03-13 17:29:19","2018-03-27 23:22:42","2018-03-28 16:04:25","2018-04-10 00:00:00"
"852d2f4d37773bcbc21c8e09a05a4ea5",eabebad39a88bb6f5b52376faec28612,delivered,"2018-03-07 15:57:14","2018-03-07 16:15:30","2018-03-12 23:02:49","2018-03-15 00:46:30","2018-03-19 00:00:00"
"8428e578bb1cf839ae26a6b7615502b9","9fb35e4ed6f0a14a4977cd9aea4042bb",delivered,"2017-11-27 17:23:20","2017-11-27 18:01:20","2017-11-28 23:04:41","2017-12-08 22:16:17","2017-12-20 00:00:00"
"6c949e670b5d33dc8fb8ad25b6da4860","1f1c7bf1c9b041b292af6c1c4470b753",delivered,"2018-04-01 18:59:31","2018-04-02 17:55:19","2018-04-03 19:33:13","2018-04-13 15:11:21","2018-04-24 00:00:00"
f86c5ed7048ac10eb88ec21c00f71892,"5aa9e4fdd4dfd20959cad2d772509598",delivered,"2018-02-07 11:36:42","2018-02-07 11:55:28","2018-02-08 17:46:32","2018-02-26 12:42:54","2018-03-06 00:00:00"
"1093c8304c7a003280dd34598194913d","5e274e7a0c3809e14aba7ad5aae0d407",delivered,"2017-11-16 19:29:02","2017-11-16 19:55:41","2017-11-22 16:46:33","2017-11-27 12:44:36","2017-12-08 00:00:00"
"5741ea1f91b5fbab2bd2dc653a5b5099","879864dab9bc3047522c92c82e1212b8",delivered,"2017-09-14 18:14:31","2017-09-14 18:25:11","2017-09-18 21:27:40","2017-09-28 17:32:43","2017-10-04 00:00:00"
"6b7d50bd145f6fc7f33cebabd7e49d0f","4f2d8ab171c80ec8364f7c12e35b23ad",delivered,"2018-07-29 09:51:30","2018-07-29 10:10:09","2018-07-30 15:16:00","2018-08-09 20:55:48","2018-08-15 00:00:00"
"00e7ee1b050b8499577073aeb2a297a1","06b8999e2fba1a1fbc88172c00ba8bc7",delivered,"2017-05-16 15:05:35","2017-05-16 15:22:12","2017-05-23 10:47:57","2017-05-25 10:35:35","2017-06-05 00:00:00"
"29150127e6685892b6eab3eec79f59c7","18955e83d337fd6b2def6b18a428ac77",delivered,"2018-01-12 20:48:24","2018-01-12 20:58:32","2018-01-15 17:14:59","2018-01-29 12:41:19","2018-02-06 00:00:00"
